========= 世界杯门票销售记录 =========
初始化成功：50 名购票者已取号并排序入队。
编号【001】已从窗口 0 购票
编号【004】已从窗口 0 购票
编号【010】已从窗口 0 购票
编号【298】已从窗口 1 购票
编号【290】已从窗口 1 购票
编号【289】已从窗口 1 购票
>>> 自动模拟启动，计划执行 40 次操作...
编号【011】已从窗口 0 购票
编号【016】已从窗口 0 购票
编号【033】已从窗口 0 购票
编号【041】已从窗口 0 购票
编号【286】已从窗口 1 购票
编号【284】已从窗口 1 购票
编号【045】已从窗口 0 购票
编号【263】已从窗口 1 购票
编号【252】已从窗口 1 购票
编号【052】已从窗口 0 购票
编号【060】已从窗口 0 购票
编号【061】已从窗口 0 购票
编号【064】已从窗口 0 购票
编号【067】已从窗口 0 购票
编号【070】已从窗口 0 购票
编号【243】已从窗口 1 购票
编号【072】已从窗口 0 购票
编号【232】已从窗口 1 购票
编号【075】已从窗口 0 购票
编号【076】已从窗口 0 购票
编号【082】已从窗口 0 购票
编号【231】已从窗口 1 购票
编号【084】已从窗口 0 购票
编号【088】已从窗口 0 购票
编号【223】已从窗口 1 购票
编号【221】已从窗口 1 购票
编号【217】已从窗口 1 购票
编号【214】已从窗口 1 购票
编号【099】已从窗口 0 购票
编号【202】已从窗口 1 购票
编号【104】已从窗口 0 购票
编号【106】已从窗口 0 购票
编号【110】已从窗口 0 购票
编号【130】已从窗口 0 购票
编号【196】已从窗口 1 购票
编号【137】已从窗口 0 购票
编号【154】已从窗口 0 购票
编号【157】已从窗口 0 购票
编号【190】已从窗口 1 购票
编号【184】已从窗口 1 购票
>>> 自动模拟结束。
======================================
